Decoder Design Style,Area (um2),Power (W),Timing (ps),Output Lines,Input Lines,Input,Internal Power,Switching Power,Leakage Power
2-Cascaded Decoder,10.68,0.000129,13,4,4,,0.000135,0.0000707,0.000000497
2-Cascaded Decoder,31.54,0.000395,14,8,6,,0.0000855,0.0000513,0.00000021
2-Cascaded Decoder,46.52,0.000372,18,16,8,,0.0000809,0.0000259,0.000000332
2-Cascaded Decoder,76.27,0.000559,22,32,10,,0.000154,0.0000316,0.000000459
2-Cascaded Decoder,172.92,0.00124,24,64,12,,0.000599,0.0000259,0.000000799
2-Cascaded Decoder,256.38,0.00161,28,128,14,2n,0.000654,0.0000202,0.000000535
4-Cascaded Decoder,24.96,0.000207,22,4,8,,0.000275,0.000119,0.000000798
4-Cascaded Decoder,65.59,0.000519,24,8,12,,0.00037,0.000148,0.00000148
4-Cascaded Decoder,78.77,0.000414,30,16,16,,0.000193,0.0000973,0.000000597
4-Cascaded Decoder,167.33,0.000852,32,32,20,,0.000141,0.0000962,0.00000104
4-Cascaded Decoder,300.81,0.00138,36,64,24,,0.00017,0.0000754,0.000000871
4-Cascaded Decoder,419.72,0.002,41,128,24,4n,0.000987,0.0000409,1.39
k-Grouped Hierarchical Decoder,7.18,0.0000743,26,4,3,,0.000309,0.000279,0.00000493
k-Grouped Hierarchical Decoder,23.56,0.000186,26,8,4,,0.000301,0.000238,0.00000515
k-Grouped Hierarchical Decoder,43.03,0.000246,36,16,5,,0.00484,0.0000854,0.00000746
k-Grouped Hierarchical Decoder,141.87,0.000544,41,32,6,,0.00817,0.00014,0.000005
k-Grouped Hierarchical Decoder,231.52,0.000758,49,64,7,,0.000915,0.000687,0.0000041
k-Grouped Hierarchical Decoder,321.88,0.000818,59,128,8,n+1,0.00114,0.000848,0.00000941
Tree Decoder-1,8.48,0.0000825,26,4,4,,0.000437,0.000317,0.00000445
Tree Decoder-1,15.37,0.000107,28,8,5,,0.00266,0.0000517,0.00000402
Tree Decoder-1,57.5,0.000239,39,16,7,,0.00426,0.0000888,0.00000293
Tree Decoder-1,121.9,0.000457,45,32,8,,0.000779,0.000459,0.000003
Tree Decoder-1,147.16,0.0004,54,64,9,,0.000802,0.000569,0.00000519
Tree Decoder-1,287.03,0.000593,64,128,10,n+3,0.000717,0.000523,0.00000304
Tree Decoder-2,13.57,0.000185,12,4,8,,0.000137,0.0000483,0.00000031
Tree Decoder-2,32.04,0.000374,17,8,16,,0.000239,0.000135,0.000000766
Tree Decoder-2,71.78,0.000716,22,16,32,,0.000472,0.000242,0.00000169
Tree Decoder-2,104.83,0.000944,27,32,64,,0.000555,0.000386,0.00000234
Tree Decoder-2,113.81,0.000899,31,64,128,,0.000494,0.000403,0.00000236
Tree Decoder-2,203.47,0.00151,36,128,256,2n,0.000758,0.000743,0.00000421
Traditional Decoder,3.69,0.000053,9,4,2,,0.0000411,0.0000119,0.0000000606
Traditional Decoder,11.48,0.000137,12,8,3,,0.0000733,0.000009,0.000000186
Traditional Decoder,31.64,0.000291,18,16,4,,0.0000675,0.00000662,0.000000171
Traditional Decoder,76.77,0.00063,19,32,5,,0.000424,0.0000106,0.000000528
Traditional Decoder,121.4,0.000898,22,64,6,,0.000343,0.00000786,0.000000247
Traditional Decoder,189.19,0.00124,25,128,7,n,0.0000947,0.0000344,0.000000255
